cell,cluster
ABarapappap,1
ABarapappp,1
ABarapapppa,1
ABarapapppp,1
ABarappaaa,1
ABarappaaaa,1
ABarappaaap,1
ABarappaap,1
ABarappaapa,1
ABarappaapp,1
ABarappapa,1
ABarappapaa,1
ABarappapap,1
ABarappapp,1
ABarappappa,1
ABarappappp,1
ABarapppaa,1
ABarapppaaa,1
ABarapppaap,1
ABarapppap,1
ABarapppapa,1
ABarapppapp,1
ABarappppa,1
ABarappppaa,1
ABarappppap,1
ABarappppp,1
ABarapppppa,1
ABarapppppp,1
ABarpaaaaa,1
ABarpaaaaal,1
ABarpaaaaar,1
ABarpaaaap,1
ABarpaaaapa,1
ABarpaaaapp,1
ABarpaaapa,1
ABarpaaapaa,1
ABarpaaapap,1
ABarpaaapp,1
ABarpaapaa,1
ABarpaapap,1
ABarpaappa,1
ABarpaappp,1
ABarpapaaa,1
ABarpapaaaa,1
ABarpapaaap,1
ABarpapaap,1
ABarpapaapa,1
ABarpapaapp,1
ABarpapaappa,1
ABarpapaappp,1
ABarpapapa,1
ABarpapapp,1
ABarpappaa,1
ABarpappap,1
ABarpapppa,1
ABarpapppp,1
ABarppaaaa,1
ABarppaaap,1
ABarppaapa,1
ABarppaapp,1
ABarppapaa,1
ABarppapap,1
ABarppappa,1
ABarppappp,1
ABarpppaaa,1
ABarpppaap,1
ABarpppapa,1
ABarpppapp,1
ABarppppaa,1
ABarppppap,1
ABarpppppa,1
ABarpppppp,1
ABplaaaaaa,1
ABplaaaaaaa,1
ABplaaaaaap,1
ABplaaaaap,1
ABplaaaaapa,1
ABplaaaaapp,1
ABplaaaaappa,1
ABplaaaaappp,1
ABplaaaapa,1
ABplaaaapp,1
ABplaaapaa,1
ABplaaapap,1
ABplaaappa,1
ABplaaappp,1
ABplaapaaa,1
ABplaapaaaa,1
ABplaapaaap,1
ABplaapaap,1
ABplaapaapa,1
ABplaapaapp,1
ABplaapapa,1
ABplaapapaa,1
ABplaapapap,1
ABplaapapp,1
ABplaapappa,1
ABplaapappp,1
ABplaapapppa,1
ABplaapapppp,1
ABplaappaa,1
ABplaappap,1
ABplaapppa,1
ABplaapppp,1
ABplapaaaa,1
ABplapaaaaa,1
ABplapaaaap,1
ABplapaaap,1
ABplapaaapa,1
ABplapaaapp,1
ABplapaapa,1
ABplapaapp,1
ABplapapaa,1
ABplapapap,1
ABplapappa,1
ABplapappp,1
ABplapapppa,1
ABplapapppp,1
ABplapappppa,1
ABplapappppp,1
ABplappaaa,1
ABplappaap,1
ABplappapa,1
ABplappapp,1
ABplapppaa,1
ABplapppaaa,1
ABplapppaap,1
ABplapppap,1
ABplapppapa,1
ABplapppapp,1
ABplapppappa,1
ABplapppappp,1
ABplappppa,1
ABplappppp,1
ABplpaaaaa,1
ABplpaaaaaa,1
ABplpaaaaap,1
ABplpaaaap,1
ABplpaaaapa,1
ABplpaaaapp,1
ABplpaaapa,1
ABplpaaapaa,1
ABplpaaapap,1
ABplpaaapp,1
ABplpaaappa,1
ABplpaaappp,1
ABplpaapaa,1
ABplpaapaaa,1
ABplpaapaap,1
ABplpaapap,1
ABplpaapapa,1
ABplpaapapp,1
ABplpaappa,1
ABplpaappaa,1
ABplpaappap,1
ABplpaappp,1
ABplpaapppa,1
ABplpaapppp,1
ABplpaappppa,1
ABplpaappppp,1
ABplpapaaa,1
ABplpapaaaa,1
ABplpapaaap,1
ABplpapaap,1
ABplpapaapa,1
ABplpapaapp,1
ABplpapapa,1
ABplpapapaa,1
ABplpapapap,1
ABplpapapp,1
ABplpapappa,1
ABplpapappp,1
ABplpappaa,1
ABplpappaaa,1
ABplpappaap,1
ABplpappap,1
ABplpapppa,1
ABplpapppaa,1
ABplpapppap,1
ABplpapppp,1
ABplpappppa,1
ABplpappppp,1
ABplppaaaa,1
ABplppaaaaa,1
ABplppaaaap,1
ABplppaaaapa,1
ABplppaaaapp,1
ABplppaaap,1
ABplppaapa,1
ABplppaapaa,1
ABplppaapap,1
ABplppaapp,1
ABplppaappa,1
ABplppaappp,1
ABplppapaa,1
ABplppapaaa,1
ABplppapaap,1
ABplppapap,1
ABplppapapa,1
ABplppapapp,1
ABplppappa,1
ABplppappaa,1
ABplppappap,1
ABplppappp,1
ABplppapppa,1
ABplppapppp,1
ABplpppaaa,1
ABplpppaaaa,1
ABplpppaaap,1
ABplpppaap,1
ABplpppaapa,1
ABplpppaapp,1
ABplpppapa,1
ABplpppapaa,1
ABplpppapap,1
ABplpppapp,1
ABplppppaa,1
ABplppppaaa,1
ABplppppaap,1
ABplppppap,1
ABplppppapa,1
ABplppppapp,1
ABplpppppa,1
ABplpppppaa,1
ABplpppppap,1
ABplpppppp,1
ABplppppppa,1
ABplppppppp,1
ABpraaaaaa,1
ABpraaaaaaa,1
ABpraaaaaap,1
ABpraaaaap,1
ABpraaaaapd,1
ABpraaaaapv,1
ABpraaaapa,1
ABpraaaapad,1
ABpraaaapav,1
ABpraaaapp,1
ABpraaaappa,1
ABpraaaappp,1
ABpraaaapppa,1
ABpraaaapppp,1
ABpraaapaa,1
ABpraaapaad,1
ABpraaapaav,1
ABpraaapap,1
ABpraaapapa,1
ABpraaapapp,1
ABpraaappa,1
ABpraaappaa,1
ABpraaappap,1
ABpraaappp,1
ABpraaapppa,1
ABpraaapppaa,1
ABpraaapppap,1
ABpraaapppp,1
ABpraaappppa,1
ABpraaappppp,1
ABpraapaaa,1
ABpraapaaaa,1
ABpraapaaap,1
ABpraapaap,1
ABpraapaapa,1
ABpraapaapp,1
ABpraapapa,1
ABpraapapaa,1
ABpraapapap,1
ABpraapapp,1
ABpraapappa,1
ABpraapappp,1
ABpraapapppa,1
ABpraapapppp,1
ABpraappaa,1
ABpraappap,1
ABpraapppa,1
ABpraapppp,1
ABprapaaaa,1
ABprapaaaaa,1
ABprapaaaap,1
ABprapaaap,1
ABprapaaapa,1
ABprapaaapp,1
ABprapaapa,1
ABprapaapp,1
ABprapapaa,1
ABprapapap,1
ABprapappa,1
ABprapappp,1
ABprapapppa,1
ABprapapppp,1
ABprapappppa,1
ABprapappppp,1
ABprappaaa,1
ABprappaap,1
ABprappapa,1
ABprappapp,1
ABprapppaa,1
ABprapppaaa,1
ABprapppaap,1
ABprapppap,1
ABprapppapa,1
ABprapppapp,1
ABprappppa,1
ABprappppp,1
ABprpaaaaa,1
ABprpaaaaaa,1
ABprpaaaaap,1
ABprpaaaap,1
ABprpaaaapa,1
ABprpaaaapp,1
ABprpaaapa,1
ABprpaaapaa,1
ABprpaaapap,1
ABprpaaapp,1
ABprpaaappa,1
ABprpaaappp,1
ABprpaapaa,1
ABprpaapaaa,1
ABprpaapaap,1
ABprpaapap,1
ABprpaapapa,1
ABprpaapapp,1
ABprpaappa,1
ABprpaappaa,1
ABprpaappap,1
ABprpaappp,1
ABprpaapppa,1
ABprpaapppp,1
ABprpaappppa,1
ABprpaappppp,1
ABprpapaaa,1
ABprpapaaaa,1
ABprpapaaap,1
ABprpapaap,1
ABprpapaapa,1
ABprpapaapp,1
ABprpapapa,1
ABprpapapaa,1
ABprpapapap,1
ABprpapapp,1
ABprpapappa,1
ABprpapappp,1
ABprpappaa,1
ABprpappaaa,1
ABprpappaap,1
ABprpappap,1
ABprpappapa,1
ABprpappapp,1
ABprpapppa,1
ABprpapppaa,1
ABprpapppap,1
ABprpapppp,1
ABprpappppa,1
